C_Depto,Descripción,C_Municipio,Descripción,C_Aldea,Aldea,C_Cas,Caserío,C_Bar,Barrio,T_Viviendas,T_Viv_Part,Viv_Part_Ocupadas,Viv_Part_Desocupadas,Viv_Colectivas,Hogares,Poblacion
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,945,BO. EL MANZANAL,38,38,34,4,0,34,160
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,23,BO. EL OBELISCO,36,36,27,9,0,27,93
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,24,BO. EL OLVIDO,79,79,64,15,0,64,226
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,25,BO. EL PASTEL,252,252,196,56,0,198,781
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,26,BO. EL PEDREGALITO,738,737,668,69,1,710,2989
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,27,BO. EL PICACHITO,559,559,527,32,0,566,2497
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,28,BO. EL REPARTO,1957,1957,1826,131,0,1892,8183
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,29,BO. EL RINCÓN,205,205,200,5,0,207,887
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,384,BO. EL SOCORRO,297,297,297,0,0,299,1168
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,30,BO. EL VASILÓN,36,36,33,3,0,33,131
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,32,BO. GUACERIQUE,132,132,98,34,0,99,445
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,33,BO. GUADALUPE,972,972,908,64,0,926,3595
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,20,BO. GUANACASTE,491,490,455,35,1,473,1894
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,34,BO. JACALEAPA,32,32,24,8,0,24,95
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,35,BO. JARDÍN DE LAS MERCEDES,332,332,308,24,0,337,1423
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,37,BO. LA BOLSA,68,67,51,16,1,54,189
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,39,BO. LA CABAÑA,722,722,644,78,0,660,2647
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,42,BO. LA CHIVERA,136,135,127,8,1,129,470
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,40,BO. LA CONCORDIA,89,89,78,11,0,83,357
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,41,BO. LA CUESTA NO. 1,491,490,447,43,1,473,2135
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,43,BO. LA ESPERANZA,143,142,115,27,1,122,496
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,984,BO. LA ESTANZUELA,43,43,31,12,0,31,147
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,44,BO. LA ESTRELLA,174,174,157,17,0,165,726
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,45,BO. LA FUENTE,201,199,154,45,2,159,591
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,46,BO. LA GRANJA,403,402,350,52,1,351,1399
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,47,BO. LA HOYA,146,146,146,0,0,150,584
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,48,BO. LA ISLA,25,25,25,0,0,26,102
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,49,BO. LA JOYA 1,15,15,14,1,0,14,60
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,51,BO. LA LEONA,466,461,424,37,5,424,1605
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,602,BO. LA LOMA,15,14,14,0,1,15,126
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,891,BO. LA LOMA II ETAPA O CONDOMINIOS CIUDAD MILANO,14,14,14,0,0,14,64
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,621,BO. LA MERCED,10,10,10,0,0,10,46
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,55,BO. LA PAGODA,323,323,307,16,0,312,1220
